訂單編號,銷售日期,門市區域,產品類別,產品名稱,單價,銷售數量,折價券使用,客戶滿意度
ORD-2026-001,2026-01-05,台北信義,智慧家電,極靜智能清淨機,12800,3,YES,5
ORD-2026-002,2026-01-07,台中西屯,廚房調理,低卡智能氣炸鍋,3600,8,NO,4
ORD-2026-003,2026-01-12,高雄左營,智慧家電,極靜智能清淨機,12800,2,NO,5
ORD-2026-004,2026-01-15,新北板橋,個人健康,高頻律動筋膜槍,2400,12,YES,3
ORD-2026-005,2026-01-20,台北信義,智慧家電,AI感知除濕機,9800,5,NO,5
ORD-2026-006,2026-02-02,台中西屯,個人健康,高頻律動筋膜槍,2400,15,YES,4
ORD-2026-007,2026-02-10,高雄左營,廚房調理,低卡智能氣炸鍋,3600,10,YES,4
ORD-2026-008,2026-02-14,台北信義,智慧家電,AI感知除濕機,9800,8,YES,5
ORD-2026-009,2026-02-22,新北板橋,智慧家電,極靜智能清淨機,12800,4,NO,4
ORD-2026-010,2026-03-01,台中西屯,智慧家電,AI感知除濕機,9800,6,YES,5
ORD-2026-011,2026-03-05,高雄左營,個人健康,高頻律動筋膜槍,2400,20,NO,4
ORD-2026-012,2026-03-12,台北信義,廚房調理,低卡智能氣炸鍋,3600,14,YES,5
ORD-2026-013,2026-03-18,新北板橋,廚房調理,低卡智能氣炸鍋,3600,7,NO,3
ORD-2026-014,2026-03-25,台北信義,智慧家電,極靜智能清淨機,12800,6,YES,5
ORD-2026-015,2026-03-29,高雄左營,智慧家電,AI感知除濕機,9800,9,NO,4
