月份,區域代碼,區域名稱,配送單量,準時率(%),平均配送時數,異常件數,客訴件數,備註
2026-01,North,北區,17167,97.3,27.2,262,21,
2026-01,Central,中區,12764,97.3,27.2,223,18,
2026-01,South,南區,14902,95.2,31.1,424,52,
2026-01,East,東區,7010,95.7,37.5,189,24,
2026-02,North,北區,18803,97.7,24.8,348,54,
2026-02,Central,中區,11788,97.4,26.0,249,25,
2026-02,South,南區,14319,97.3,32.2,256,40,
2026-02,East,東區,7286,94.6,35.8,237,19,
2026-03,North,北區,19432,97.5,28.2,345,46,
2026-03,Central,中區,11910,96.3,27.2,327,34,
2026-03,South,南區,15535,96.0,33.4,393,49,
2026-03,East,東區,6531,95.8,38.1,209,26,
2026-04,North,北區,17552,97.2,24.8,357,29,
2026-04,Central,中區,12434,96.9,30.4,229,31,
2026-04,South,南區,16665,96.5,29.7,485,47,
2026-04,East,東區,6926,94.5,38.8,261,24,
2026-05,North,北區,20054,96.9,24.6,433,47,
2026-05,Central,中區,12711,97.0,27.3,212,32,
2026-05,South,南區,15480,97.4,29.5,267,30,
2026-05,East,東區,6820,94.6,37.9,230,28,
2026-06,North,北區,19368,97.0,28.3,454,44,
2026-06,Central,中區,,,,,,WMS 系統移轉期間未落帳
2026-06,South,南區,14126,97.3,33.6,274,35,
2026-06,East,東區,7312,94.9,40.6,293,25,
2026-07,North,北區,19325,96.7,27.2,420,35,
2026-07,Central,中區,13052,96.5,28.2,261,22,
2026-07,South,南區,15222,95.2,29.1,490,47,
2026-07,East,東區,6916,96.3,36.5,217,25,
2026-08,North,北區,17306,98.0,27.1,257,32,
2026-08,Central,中區,13017,97.8,26.1,194,27,
2026-08,South,南區,16240,97.1,32.0,379,47,
2026-08,East,東區,6884,81.3,62.7,765,99,0812-0815 颱風封路，山區線全面停駛
2026-09,North,北區,19269,97.1,27.7,468,48,
2026-09,Central,中區,12810,96.4,28.7,341,41,
2026-09,South,南區,16489,97.4,32.1,250,28,
2026-09,East,東區,7312,94.8,40.1,234,34,
2026-10,North,北區,17546,98.9,28.6,140,19,
2026-10,Central,中區,11820,96.1,29.1,344,49,
2026-10,South,南區,15434,95.3,32.6,514,58,
2026-10,East,東區,6459,94.3,35.7,293,39,
2026-11,North,北區,18922,96.7,26.7,462,73,
2026-11,Central,中區,13508,95.9,26.8,311,45,
2026-11,South,南區,33489,92.6,30.0,1550,182,雙 11 檔期，單量為平時 2.3 倍
2026-11,East,東區,6569,95.3,38.0,195,30,
2026-12,North,北區,17259,98.2,25.0,251,34,
2026-12,Central,中區,12107,96.7,28.6,235,20,
2026-12,South,南區,16645,96.3,32.4,493,53,
2026-12,East,東區,6681,95.5,36.7,180,23,
