月份,區域代碼,區域名稱,配送單量,準時率(%),平均配送時數,異常件數,客訴件數,備註
2026-04,North,北區,18447,97.2,24.5,387,48,
2026-04,Central,中區,12971,96.0,29.8,431,49,
2026-04,South,南區,14347,95.1,29.1,477,58,
2026-04,East,東區,6376,96.6,39.5,157,23,
2026-05,North,北區,19631,97.1,24.4,313,26,
2026-05,Central,中區,12400,96.6,27.7,288,31,
2026-05,South,南區,14492,95.8,29.2,438,47,
2026-05,East,東區,6422,96.5,40.3,184,17,
2026-06,North,北區,17621,98.0,25.5,215,20,
2026-06,Central,中區,,,,,,WMS 系統移轉期間未落帳
2026-06,South,南區,14300,95.7,33.2,350,31,
2026-06,East,東區,7022,94.6,36.4,221,24,
