季度,門市代碼,門市名稱,區域,品項,單價,銷售數量,銷售金額,毛利率
2026Q1,MH-TP01,台北信義店,北區,蜜香紅茶生吐司,180,4306,775080,0.38
2026Q1,MH-TP01,台北信義店,北區,海鹽奶油卷,45,1044,46980,0.591
2026Q1,MH-TP01,台北信義店,北區,桂圓核桃法國,220,3169,697180,0.514
2026Q1,MH-TP01,台北信義店,北區,經典可頌,65,1637,106405,0.435
2026Q1,MH-TP02,台北大安店,北區,蜜香紅茶生吐司,180,2968,534240,0.561
2026Q1,MH-TP02,台北大安店,北區,海鹽奶油卷,45,3590,161550,0.419
2026Q1,MH-TP02,台北大安店,北區,桂圓核桃法國,220,2268,498960,0.577
2026Q1,MH-TP02,台北大安店,北區,經典可頌,65,2754,179010,0.406
2026Q1,MH-NT01,新北板橋店,北區,蜜香紅茶生吐司,180,2392,430560,0.48
2026Q1,MH-NT01,新北板橋店,北區,海鹽奶油卷,45,5077,228465,0.399
2026Q1,MH-NT01,新北板橋店,北區,桂圓核桃法國,220,2774,610280,0.509
2026Q1,MH-NT01,新北板橋店,北區,經典可頌,65,3815,247975,0.512
2026Q1,MH-TY01,桃園中壢店,北區,蜜香紅茶生吐司,180,4771,858780,0.454
2026Q1,MH-TY01,桃園中壢店,北區,海鹽奶油卷,45,2421,108945,0.554
2026Q1,MH-TY01,桃園中壢店,北區,桂圓核桃法國,220,3756,826320,0.54
2026Q1,MH-TY01,桃園中壢店,北區,經典可頌,65,3491,226915,0.489
2026Q1,MH-TC01,台中西屯店,中區,蜜香紅茶生吐司,180,3801,684180,0.398
2026Q1,MH-TC01,台中西屯店,中區,海鹽奶油卷,45,1122,50490,0.397
2026Q1,MH-TC01,台中西屯店,中區,桂圓核桃法國,220,3630,798600,0.597
2026Q1,MH-TC01,台中西屯店,中區,經典可頌,65,2099,136435,0.583
2026Q1,MH-TC02,台中北屯店,中區,蜜香紅茶生吐司,180,1565,281700,0.444
2026Q1,MH-TC02,台中北屯店,中區,海鹽奶油卷,45,2353,105885,0.524
2026Q1,MH-TC02,台中北屯店,中區,桂圓核桃法國,220,1031,226820,0.591
2026Q1,MH-TC02,台中北屯店,中區,經典可頌,65,2810,182650,0.563
2026Q1,MH-TN01,台南東區店,南區,蜜香紅茶生吐司,180,2147,386460,0.533
2026Q1,MH-TN01,台南東區店,南區,海鹽奶油卷,45,3879,174555,0.565
2026Q1,MH-TN01,台南東區店,南區,桂圓核桃法國,220,2883,634260,0.481
2026Q1,MH-TN01,台南東區店,南區,經典可頌,65,1400,91000,0.516
2026Q1,MH-KH01,高雄左營店,南區,蜜香紅茶生吐司,180,3586,645480,0.57
2026Q1,MH-KH01,高雄左營店,南區,海鹽奶油卷,45,3739,168255,0.543
2026Q1,MH-KH01,高雄左營店,南區,桂圓核桃法國,220,3527,775940,0.481
2026Q1,MH-KH01,高雄左營店,南區,經典可頌,65,3150,204750,0.479
2026Q2,MH-TP01,台北信義店,北區,蜜香紅茶生吐司,180,2602,468360,0.4
2026Q2,MH-TP01,台北信義店,北區,海鹽奶油卷,45,2032,91440,0.476
2026Q2,MH-TP01,台北信義店,北區,桂圓核桃法國,220,1499,329780,0.472
2026Q2,MH-TP01,台北信義店,北區,經典可頌,65,1186,77090,0.441
2026Q2,MH-TP02,台北大安店,北區,蜜香紅茶生吐司,180,4382,788760,0.553
2026Q2,MH-TP02,台北大安店,北區,海鹽奶油卷,45,2571,115695,0.567
2026Q2,MH-TP02,台北大安店,北區,桂圓核桃法國,220,4452,979440,0.391
2026Q2,MH-TP02,台北大安店,北區,經典可頌,65,1218,79170,0.554
2026Q2,MH-NT01,新北板橋店,北區,蜜香紅茶生吐司,180,4081,734580,0.434
2026Q2,MH-NT01,新北板橋店,北區,海鹽奶油卷,45,5097,229365,0.537
2026Q2,MH-NT01,新北板橋店,北區,桂圓核桃法國,220,4173,918060,0.436
2026Q2,MH-NT01,新北板橋店,北區,經典可頌,65,5061,328965,0.598
2026Q2,MH-TY01,桃園中壢店,北區,蜜香紅茶生吐司,180,1872,336960,0.422
2026Q2,MH-TY01,桃園中壢店,北區,海鹽奶油卷,45,1482,66690,0.394
2026Q2,MH-TY01,桃園中壢店,北區,桂圓核桃法國,220,4528,996160,0.607
2026Q2,MH-TY01,桃園中壢店,北區,經典可頌,65,2007,130455,0.473
2026Q2,MH-TC01,台中西屯店,中區,蜜香紅茶生吐司,180,4041,727380,0.522
2026Q2,MH-TC01,台中西屯店,中區,海鹽奶油卷,45,1558,70110,0.437
2026Q2,MH-TC01,台中西屯店,中區,桂圓核桃法國,220,3105,683100,0.474
2026Q2,MH-TC01,台中西屯店,中區,經典可頌,65,1465,95225,0.472
2026Q2,MH-TC02,台中北屯店,中區,蜜香紅茶生吐司,180,3209,577620,0.397
2026Q2,MH-TC02,台中北屯店,中區,海鹽奶油卷,45,4030,181350,0.554
2026Q2,MH-TC02,台中北屯店,中區,桂圓核桃法國,220,4122,906840,0.593
2026Q2,MH-TC02,台中北屯店,中區,經典可頌,65,2863,186095,0.542
2026Q2,MH-TN01,台南東區店,南區,蜜香紅茶生吐司,180,4023,724140,0.451
2026Q2,MH-TN01,台南東區店,南區,海鹽奶油卷,45,2177,97965,0.558
2026Q2,MH-TN01,台南東區店,南區,桂圓核桃法國,220,2682,590040,0.509
2026Q2,MH-TN01,台南東區店,南區,經典可頌,65,2100,136500,0.582
2026Q2,MH-KH01,高雄左營店,南區,蜜香紅茶生吐司,180,1404,252720,0.468
2026Q2,MH-KH01,高雄左營店,南區,海鹽奶油卷,45,3081,138645,0.566
2026Q2,MH-KH01,高雄左營店,南區,桂圓核桃法國,220,4071,895620,0.573
2026Q2,MH-KH01,高雄左營店,南區,經典可頌,65,1221,79365,0.499
2026Q3,MH-TP01,台北信義店,北區,蜜香紅茶生吐司,180,2527,454860,0.501
2026Q3,MH-TP01,台北信義店,北區,海鹽奶油卷,45,3436,154620,0.539
2026Q3,MH-TP01,台北信義店,北區,桂圓核桃法國,220,3252,715440,0.417
2026Q3,MH-TP01,台北信義店,北區,經典可頌,65,2288,148720,0.454
2026Q3,MH-TP01,台北信義店,北區,秋栗蒙布朗,145,3630,526350,0.538
2026Q3,MH-TP02,台北大安店,北區,蜜香紅茶生吐司,180,2522,453960,0.381
2026Q3,MH-TP02,台北大安店,北區,海鹽奶油卷,45,2408,108360,0.485
2026Q3,MH-TP02,台北大安店,北區,桂圓核桃法國,220,1928,424160,0.515
2026Q3,MH-TP02,台北大安店,北區,經典可頌,65,4142,269230,0.438
2026Q3,MH-TP02,台北大安店,北區,秋栗蒙布朗,145,4670,677150,0.561
2026Q3,MH-NT01,新北板橋店,北區,蜜香紅茶生吐司,180,3751,675180,0.535
2026Q3,MH-NT01,新北板橋店,北區,海鹽奶油卷,45,1070,48150,0.4
2026Q3,MH-NT01,新北板橋店,北區,桂圓核桃法國,220,1464,322080,0.515
2026Q3,MH-NT01,新北板橋店,北區,經典可頌,65,1310,85150,0.565
2026Q3,MH-NT01,新北板橋店,北區,秋栗蒙布朗,145,4935,715575,0.522
2026Q3,MH-TY01,桃園中壢店,北區,蜜香紅茶生吐司,180,3888,699840,0.537
2026Q3,MH-TY01,桃園中壢店,北區,海鹽奶油卷,45,1187,53415,0.522
2026Q3,MH-TY01,桃園中壢店,北區,桂圓核桃法國,220,3000,660000,0.565
2026Q3,MH-TY01,桃園中壢店,北區,經典可頌,65,2102,136630,0.516
2026Q3,MH-TY01,桃園中壢店,北區,秋栗蒙布朗,145,1944,281880,0.409
2026Q3,MH-TC01,台中西屯店,中區,蜜香紅茶生吐司,180,3946,710280,0.536
2026Q3,MH-TC01,台中西屯店,中區,海鹽奶油卷,45,3741,168345,0.568
2026Q3,MH-TC01,台中西屯店,中區,桂圓核桃法國,220,1761,387420,0.574
2026Q3,MH-TC01,台中西屯店,中區,經典可頌,65,2701,175565,0.566
2026Q3,MH-TC01,台中西屯店,中區,秋栗蒙布朗,145,3180,461100,0.548
2026Q3,MH-TC02,台中北屯店,中區,蜜香紅茶生吐司,180,3904,702720,0.607
2026Q3,MH-TC02,台中北屯店,中區,海鹽奶油卷,45,3978,179010,0.494
2026Q3,MH-TC02,台中北屯店,中區,桂圓核桃法國,220,3545,779900,0.5
2026Q3,MH-TC02,台中北屯店,中區,經典可頌,65,2999,194935,0.434
2026Q3,MH-TC02,台中北屯店,中區,秋栗蒙布朗,145,2605,377725,0.415
2026Q3,MH-TN01,台南東區店,南區,蜜香紅茶生吐司,180,3824,688320,0.478
2026Q3,MH-TN01,台南東區店,南區,海鹽奶油卷,45,2356,106020,0.403
2026Q3,MH-TN01,台南東區店,南區,桂圓核桃法國,220,2276,500720,0.584
2026Q3,MH-TN01,台南東區店,南區,經典可頌,65,2060,133900,0.573
2026Q3,MH-TN01,台南東區店,南區,秋栗蒙布朗,145,3803,551435,0.42
2026Q3,MH-KH01,高雄左營店,南區,蜜香紅茶生吐司,180,1249,224820,0.46
2026Q3,MH-KH01,高雄左營店,南區,海鹽奶油卷,45,2048,92160,0.492
2026Q3,MH-KH01,高雄左營店,南區,桂圓核桃法國,220,1930,424600,0.508
2026Q3,MH-KH01,高雄左營店,南區,經典可頌,65,3927,255255,0.46
2026Q3,MH-KH01,高雄左營店,南區,秋栗蒙布朗,145,2176,315520,0.408
