時間戳記,日期,小時,日類型,場區總需量(kW),契約容量(kW),超約狀態,光電發電量(kWh),電網購電量(kWh),場區總用電量(kWh),電網排碳量(kgCO2e),光電減碳效益(kgCO2e)
2026-08-01 00:00,2026-08-01,0,週末,145.0,500.0,正常,0.0,145.0,145.0,71.78,0.0
2026-08-01 01:00,2026-08-01,1,週末,138.6,500.0,正常,0.0,138.6,138.6,68.61,0.0
2026-08-01 02:00,2026-08-01,2,週末,146.5,500.0,正常,0.0,146.5,146.5,72.52,0.0
2026-08-01 03:00,2026-08-01,3,週末,155.2,500.0,正常,0.0,155.2,155.2,76.82,0.0
2026-08-01 04:00,2026-08-01,4,週末,137.7,500.0,正常,0.0,137.7,137.7,68.16,0.0
2026-08-01 05:00,2026-08-01,5,週末,137.7,500.0,正常,0.0,137.7,137.7,68.16,0.0
2026-08-01 06:00,2026-08-01,6,週末,147.7,500.0,正常,23.7,124.0,147.7,61.38,11.73
2026-08-01 07:00,2026-08-01,7,週末,145.4,500.0,正常,65.4,80.0,145.4,39.6,32.37
2026-08-01 08:00,2026-08-01,8,週末,135.3,500.0,正常,133.0,2.3,135.3,1.14,65.83
2026-08-01 09:00,2026-08-01,9,週末,120.9,500.0,正常,201.6,0.0,120.9,0.0,99.79
2026-08-01 10:00,2026-08-01,10,週末,134.4,500.0,正常,216.6,0.0,134.4,0.0,107.22
2026-08-01 11:00,2026-08-01,11,週末,143.1,500.0,正常,255.3,0.0,143.1,0.0,126.37
2026-08-01 12:00,2026-08-01,12,週末,125.9,500.0,正常,266.4,0.0,125.9,0.0,131.87
2026-08-01 13:00,2026-08-01,13,週末,137.7,500.0,正常,292.4,0.0,137.7,0.0,144.74
2026-08-01 14:00,2026-08-01,14,週末,125.8,500.0,正常,243.5,0.0,125.8,0.0,120.53
2026-08-01 15:00,2026-08-01,15,週末,141.1,500.0,正常,189.8,0.0,141.1,0.0,93.95
2026-08-01 16:00,2026-08-01,16,週末,143.8,500.0,正常,122.7,21.0,143.8,10.4,60.74
2026-08-01 17:00,2026-08-01,17,週末,137.1,500.0,正常,63.5,73.6,137.1,36.43,31.43
